date,problem,algorytm,struktura,wierzcholki,gestosc,iteracja,czas_us
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,5,2508
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,6,2807
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,7,3096
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,8,2762
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,9,2906
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,10,2994
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,11,2871
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,12,2343
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,13,4023
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,14,2275
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,15,2834
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,16,5683
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,17,3118
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,18,5187
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,19,4947
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,20,4669
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,21,3035
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,22,5254
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,23,3388
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,24,11298
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,25,3238
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,26,3131
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,27,2739
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,28,3668
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,29,2573
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,30,3558
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,31,3325
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,32,3516
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,33,3376
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,34,12427
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,35,8526
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,36,8141
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,37,2980
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,38,6392
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,39,4724
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,40,3868
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,41,3299
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,42,4272
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,43,5509
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,44,7637
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,45,2533
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,46,4752
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,47,3093
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,48,4676
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,49,3380
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,50,2921
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,51,5058
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,52,9319
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,53,6111
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,54,3974
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,55,5221
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,56,10501
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,57,3562
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,58,3562
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,59,8197
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,60,6793
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,61,5438
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,62,3609
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,63,4203
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,64,2996
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,65,5975
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,66,2824
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,67,2521
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,avg,4431
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,min,2275
2026-06-25 17:04:52,mf,ford-fulkerson,macierz,100,25,max,12427
2026-06-25 17:04:53,mf,ford-fulkerson,lista,100,50,1,3970
2026-06-25 17:04:53,mf,ford-fulkerson,lista,100,50,2,3262
2026-06-25 17:04:53,mf,ford-fulkerson,lista,100,50,3,1773
2026-06-25 17:04:53,mf,ford-fulkerson,lista,100,50,4,2175
2026-06-25 17:04:53,mf,ford-fulkerson,lista,100,50,5,2673
2026-06-25 17:04:53,mf,ford-fulkerson,lista,100,50,6,6817
2026-06-25 17:04:53,mf,ford-fulkerson,lista,100,50,7,2834
2026-06-25 17:04:53,mf,ford-fulkerson,lista,100,50,8,2924
2026-06-25 17:04:53,mf,ford-fulkerson,lista,100,50,9,3084
2026-06-25 17:04:53,mf,ford-fulkerson,lista,100,50,10,2256
2026-06-25 17:04:53,mf,ford-fulkerson,lista,100,50,11,10493
2026-06-25 17:04:53,mf,ford-fulkerson,lista,100,50,12,2126
2026-06-25 17:04:53,mf,ford-fulkerson,lista,100,50,13,2010
2026-06-25 17:04:53,mf,ford-fulkerson,lista,100,50,14,2778
2026-06-25 17:04:53,mf,ford-fulkerson,lista,100,50,15,2778
2026-06-25 17:04:53,mf,ford-fulkerson,lista,100,50,16,2327
2026-06-25 17:04:53,mf,ford-fulkerson,lista,100,50,17,2421
2026-06-25 17:04:53,mf,ford-fulkerson,lista,100,50,18,4085
