date,problem,algorytm,struktura,wierzcholki,gestosc,iteracja,czas_us
2026-06-25 17:03:30,mst,kruskal,lista,100,25,21,340
2026-06-25 17:03:30,mst,kruskal,lista,100,25,22,229
2026-06-25 17:03:30,mst,kruskal,lista,100,25,23,339
2026-06-25 17:03:30,mst,kruskal,lista,100,25,24,348
2026-06-25 17:03:30,mst,kruskal,lista,100,25,25,293
2026-06-25 17:03:30,mst,kruskal,lista,100,25,26,340
2026-06-25 17:03:30,mst,kruskal,lista,100,25,27,335
2026-06-25 17:03:30,mst,kruskal,lista,100,25,28,259
2026-06-25 17:03:30,mst,kruskal,lista,100,25,29,405
2026-06-25 17:03:30,mst,kruskal,lista,100,25,30,287
2026-06-25 17:03:30,mst,kruskal,lista,100,25,31,277
2026-06-25 17:03:30,mst,kruskal,lista,100,25,32,311
2026-06-25 17:03:30,mst,kruskal,lista,100,25,33,246
2026-06-25 17:03:30,mst,kruskal,lista,100,25,34,443
2026-06-25 17:03:30,mst,kruskal,lista,100,25,35,813
2026-06-25 17:03:30,mst,kruskal,lista,100,25,36,243
2026-06-25 17:03:30,mst,kruskal,lista,100,25,37,263
2026-06-25 17:03:30,mst,kruskal,lista,100,25,38,299
2026-06-25 17:03:30,mst,kruskal,lista,100,25,39,386
2026-06-25 17:03:30,mst,kruskal,lista,100,25,40,284
2026-06-25 17:03:30,mst,kruskal,lista,100,25,41,311
2026-06-25 17:03:30,mst,kruskal,lista,100,25,42,897
2026-06-25 17:03:30,mst,kruskal,lista,100,25,43,238
2026-06-25 17:03:30,mst,kruskal,lista,100,25,44,254
2026-06-25 17:03:30,mst,kruskal,lista,100,25,45,335
2026-06-25 17:03:30,mst,kruskal,lista,100,25,46,279
2026-06-25 17:03:30,mst,kruskal,lista,100,25,47,289
2026-06-25 17:03:30,mst,kruskal,lista,100,25,48,256
2026-06-25 17:03:30,mst,kruskal,lista,100,25,49,256
2026-06-25 17:03:30,mst,kruskal,lista,100,25,50,272
2026-06-25 17:03:30,mst,kruskal,lista,100,25,51,302
2026-06-25 17:03:30,mst,kruskal,lista,100,25,52,598
2026-06-25 17:03:30,mst,kruskal,lista,100,25,53,1881
2026-06-25 17:03:30,mst,kruskal,lista,100,25,54,367
2026-06-25 17:03:30,mst,kruskal,lista,100,25,55,389
2026-06-25 17:03:30,mst,kruskal,lista,100,25,56,289
2026-06-25 17:03:30,mst,kruskal,lista,100,25,57,306
2026-06-25 17:03:30,mst,kruskal,lista,100,25,58,269
2026-06-25 17:03:30,mst,kruskal,lista,100,25,59,350
2026-06-25 17:03:30,mst,kruskal,lista,100,25,60,272
2026-06-25 17:03:30,mst,kruskal,lista,100,25,61,431
2026-06-25 17:03:30,mst,kruskal,lista,100,25,62,456
2026-06-25 17:03:30,mst,kruskal,lista,100,25,63,271
2026-06-25 17:03:30,mst,kruskal,lista,100,25,64,260
2026-06-25 17:03:30,mst,kruskal,lista,100,25,65,1315
2026-06-25 17:03:30,mst,kruskal,lista,100,25,66,243
2026-06-25 17:03:30,mst,kruskal,lista,100,25,67,220
2026-06-25 17:03:30,mst,kruskal,lista,100,25,avg,387
2026-06-25 17:03:30,mst,kruskal,lista,100,25,min,220
2026-06-25 17:03:30,mst,kruskal,lista,100,25,max,2024
2026-06-25 17:03:30,mst,prim,macierz,100,25,1,1966
2026-06-25 17:03:30,mst,prim,macierz,100,25,2,1957
2026-06-25 17:03:30,mst,prim,macierz,100,25,3,1252
2026-06-25 17:03:30,mst,prim,macierz,100,25,4,1250
2026-06-25 17:03:30,mst,prim,macierz,100,25,5,1308
2026-06-25 17:03:30,mst,prim,macierz,100,25,6,1468
2026-06-25 17:03:30,mst,prim,macierz,100,25,7,2463
2026-06-25 17:03:30,mst,prim,macierz,100,25,8,3182
2026-06-25 17:03:30,mst,prim,macierz,100,25,9,1364
2026-06-25 17:03:30,mst,prim,macierz,100,25,10,1636
2026-06-25 17:03:30,mst,prim,macierz,100,25,11,1659
2026-06-25 17:03:30,mst,prim,macierz,100,25,12,1745
2026-06-25 17:03:30,mst,prim,macierz,100,25,13,1468
2026-06-25 17:03:30,mst,prim,macierz,100,25,14,1428
2026-06-25 17:03:30,mst,prim,macierz,100,25,15,1517
2026-06-25 17:03:30,mst,prim,macierz,100,25,16,3127
2026-06-25 17:03:30,mst,prim,macierz,100,25,17,7942
2026-06-25 17:03:30,mst,prim,macierz,100,25,18,1429
2026-06-25 17:03:30,mst,prim,macierz,100,25,19,1361
2026-06-25 17:03:30,mst,prim,macierz,100,25,20,1284
2026-06-25 17:03:30,mst,prim,macierz,100,25,21,1308
2026-06-25 17:03:30,mst,prim,macierz,100,25,22,1484
2026-06-25 17:03:30,mst,prim,macierz,100,25,23,7014
2026-06-25 17:03:30,mst,prim,macierz,100,25,24,2280
2026-06-25 17:03:30,mst,prim,macierz,100,25,25,4133
2026-06-25 17:03:30,mst,prim,macierz,100,25,26,7826
2026-06-25 17:03:30,mst,prim,macierz,100,25,27,5405
2026-06-25 17:03:30,mst,prim,macierz,100,25,28,1464
2026-06-25 17:03:30,mst,prim,macierz,100,25,29,1725
2026-06-25 17:03:30,mst,prim,macierz,100,25,30,1767
2026-06-25 17:03:30,mst,prim,macierz,100,25,31,1565
2026-06-25 17:03:30,mst,prim,macierz,100,25,32,2707
2026-06-25 17:03:30,mst,prim,macierz,100,25,33,3096
2026-06-25 17:03:30,mst,prim,macierz,100,25,34,1401
2026-06-25 17:03:30,mst,prim,macierz,100,25,35,1390
2026-06-25 17:03:30,mst,prim,macierz,100,25,36,1340
2026-06-25 17:03:30,mst,prim,macierz,100,25,37,1435
2026-06-25 17:03:30,mst,prim,macierz,100,25,38,1557
2026-06-25 17:03:30,mst,prim,macierz,100,25,39,2904
2026-06-25 17:03:30,mst,prim,macierz,100,25,40,1451
2026-06-25 17:03:30,mst,prim,macierz,100,25,41,1620
2026-06-25 17:03:30,mst,prim,macierz,100,25,42,1379
2026-06-25 17:03:30,mst,prim,macierz,100,25,43,1475
2026-06-25 17:03:30,mst,prim,macierz,100,25,44,3416
2026-06-25 17:03:30,mst,prim,macierz,100,25,45,1504
2026-06-25 17:03:30,mst,prim,macierz,100,25,46,1437
2026-06-25 17:03:30,mst,prim,macierz,100,25,47,1588
2026-06-25 17:03:30,mst,prim,macierz,100,25,48,1417
2026-06-25 17:03:30,mst,prim,macierz,100,25,49,4497
2026-06-25 17:03:30,mst,prim,macierz,100,25,50,1397
2026-06-25 17:03:30,mst,prim,macierz,100,25,51,2360
2026-06-25 17:03:30,mst,prim,macierz,100,25,52,1422
2026-06-25 17:03:30,mst,prim,macierz,100,25,53,2534
2026-06-25 17:03:30,mst,prim,macierz,100,25,54,2648
2026-06-25 17:03:30,mst,prim,macierz,100,25,55,1654
2026-06-25 17:03:30,mst,prim,macierz,100,25,56,1979
2026-06-25 17:03:30,mst,prim,macierz,100,25,57,3424
2026-06-25 17:03:30,mst,prim,macierz,100,25,58,2306
2026-06-25 17:03:30,mst,prim,macierz,100,25,59,4319
2026-06-25 17:03:30,mst,prim,macierz,100,25,60,2095
2026-06-25 17:03:30,mst,prim,macierz,100,25,61,5516
2026-06-25 17:03:30,mst,prim,macierz,100,25,62,11202
2026-06-25 17:03:30,mst,prim,macierz,100,25,63,12686
2026-06-25 17:03:30,mst,prim,macierz,100,25,64,1940
2026-06-25 17:03:30,mst,prim,macierz,100,25,65,2332
2026-06-25 17:03:30,mst,prim,macierz,100,25,66,1854
2026-06-25 17:03:30,mst,prim,macierz,100,25,67,1748
2026-06-25 17:03:30,mst,prim,macierz,100,25,avg,2623
2026-06-25 17:03:30,mst,prim,macierz,100,25,min,1250
2026-06-25 17:03:30,mst,prim,macierz,100,25,max,12686
2026-06-25 17:03:30,mst,kruskal,macierz,100,25,1,1287
2026-06-25 17:03:30,mst,kruskal,macierz,100,25,2,1253
