date,algorytm,struktura,wierzcholki,krawedzie,iteracja,czas_us
2026-06-25 20:42:11,bellman-ford,lista,3783,24186,41,1021573
2026-06-25 20:42:12,bellman-ford,lista,3783,24186,42,1032197
2026-06-25 20:42:13,bellman-ford,lista,3783,24186,43,1018648
2026-06-25 20:42:14,bellman-ford,lista,3783,24186,44,1032752
2026-06-25 20:42:15,bellman-ford,lista,3783,24186,45,1060780
2026-06-25 20:42:16,bellman-ford,lista,3783,24186,46,1035552
2026-06-25 20:42:17,bellman-ford,lista,3783,24186,47,1038681
2026-06-25 20:42:19,bellman-ford,lista,3783,24186,48,1205818
2026-06-25 20:42:21,bellman-ford,lista,3783,24186,49,2031416
2026-06-25 20:42:23,bellman-ford,lista,3783,24186,50,1936622
2026-06-25 20:42:23,bellman-ford,lista,3783,24186,avg,1226449
2026-06-25 20:42:23,bellman-ford,lista,3783,24186,min,1008947
2026-06-25 20:42:23,bellman-ford,lista,3783,24186,max,2435489
